Region,Capital,area,population,latitude,longitude
Arusha Region,Arusha,"37,576","1,694,310",-3.366667,36.683333
Dar es Salaam Region,Dar es Salaam,"1,393","4,364,541",-6.8,39.283333
Dodoma Region,Dodoma,"41,311","2,083,588",-6.173056,35.741944
Iringa Region,Iringa,"35,503","941,238",-7.77,35.69
Kagera Region,Bukoba,"25,265","2,458,023",-1.333333,31.816667
Kigoma Region,Kigoma,"37,040","2,127,930",-4.883333,29.633333
Kilimanjaro Region,Moshi,"13,250","1,640,087",-3.334883,37.340381
Lindi Region,Lindi,"66,040","864,652",-9.996944,39.714444
Manyara Region,Babati,"44,522","1,425,131",-4.216667,35.75
Mara Region,Musoma,"21,760","1,743,830",-1.5,33.8
Mbeya Region,Mbeya,"60,350","2,707,410",-8.9,33.45
Morogoro Region,Morogoro,"70,624","2,218,492",-6.816667,37.666667
Mtwara Region,Mtwara,"16,710","1,270,854",-10.273611,40.182778
Mwanza Region,Mwanza,"9,467","2,772,509",-2.516667,32.9
Pemba North Region,Wete,574,"211,732",-5.056667,39.728056
Pemba South Region,Chake Chake,332,"195,116",-5.245833,39.766667
Pwani Region,Kibaha,"32,547","1,098,668",-6.766667,38.916667
Rukwa Region,Sumbawanga,"22,792","1,004,539",-7.966667,31.616667
Ruvuma Region,Songea,"63,669","1,376,891",-10.683333,35.65
Shinyanga Region,Shinyanga,"18,901","1,534,808",-3.661944,33.423056
Singida Region,Singida,"49,340","1,370,637",-4.816667,34.75
Tabora Region,Tabora,"76,150","2,291,623",-5.016667,32.8
Tanga Region,Tanga,"26,667","2,045,205",-5.066667,39.1
Zanzibar North Region,Mkokotoni,470,"187,455",-5.88,39.273056
Zanzibar South Region,Koani,854,"115,588",-6.133333,39.283333
Zanzibar Urban West Region,Zanzibar City,230,"593,678",-6.1650283,39.1978437
